Accession,Organism_Name,Release_Date,Nuc_Completeness,Segment,Country,Collection_Date
OR747347,Influenza A virus,2023-11-04,partial,7,USA,2023-06-01
CY053447,Influenza A virus (A/chicken/New Jersey/Sg-00380/2001(H7N2)),2009-12-17,partial,7,USA,2001
CY001890,Influenza A virus (A/New York/329/1999(H3N2)),2005-07-01,partial,6,USA,1999-02-01
CY098236,Influenza A virus (A/aquatic bird/Korea/CN9/2009(H6N8)),2011-08-31,partial,2,South Korea,2009-11
MZ089131,Influenza A virus,2021-12-31,partial,6,France,2020-05-04
MN794954,Influenza A virus,2019-12-12,partial,4,USA,2018-11-30
PP233944,Influenza A virus,2024-02-04,partial,1,USA,2023-12-22
GQ475931,Influenza A virus (A/Ohio/04/2009(H1N1)),2009-08-19,partial,6,USA,2009-01-28
AB443567,Influenza A virus (A/Morioka/52/2002(H3N2)),2008-12-25,partial,,Japan,2002-03-01
AB586782,Influenza A virus (A/quail/Hong Kong/NT342/2001(H6N1)),2010-09-16,partial,,Hong Kong,
PQ082174,Influenza B virus,2024-07-30,partial,6,USA,2023-10-08
HE968266,Influenza A virus (A/equine/United Kingdom/306420/2003(H3N8)),2012-12-20,partial,,United Kingdom,2003-03-25
CY120365,Influenza A virus (A/Hong Kong/H090-759-V10/2009(H1N1)),2012-05-29,partial,4,Hong Kong,2009-07-30
PQ638110,Influenza A virus,2024-11-25,partial,6,USA,2022-11-22
PQ830097,Influenza A virus,2025-01-03,partial,8,USA,2024-12-04
MT210978,Influenza A virus,2020-03-22,partial,7,USA,2019-07-01
HZ437660,Influenza A virus,2016-02-24,partial,,,
FJ970923,Influenza A virus (A/swine/Guangdong/Z5/2003(H3N2)),2009-05-12,partial,8,China,2003-12
CY071558,Influenza A virus (A/Amman/WR1324N/2009(H1N1)),2010-08-18,partial,8,Jordan,2009-10-18
HZ437665,Influenza A virus,2016-02-24,partial,,,
MK363015,Influenza A virus,2020-01-31,partial,2,Germany,2013-06-21
PQ064543,Influenza A virus,2024-07-28,partial,3,USA,2022-01-21
KM070330,Influenza A virus (A/Singapore/H2011.871/2011(H3N2)),2014-08-30,partial,2,Singapore,2011-11-14
OP085273,Influenza A virus,2022-08-01,partial,1,USA,2021-12-15
MW098457,Influenza A virus,2020-10-19,partial,5,China,2018-11-29
PP524482,Influenza A virus,2024-03-27,partial,4,USA,2024-02-21
MN976691,Influenza A virus,2020-01-28,partial,8,USA,2019-11-22
MW875037,Influenza A virus,2021-04-12,partial,5,USA,2020-05-29
OM522008,Influenza A virus,2022-02-10,partial,4,Canada,2019-11-13
MK636118,Influenza A virus,2019-03-20,partial,5,USA,2018-12-30
MK856032,Influenza A virus,2019-05-05,partial,7,USA,2019-02-01
PV152456,Influenza A virus,2025-02-20,partial,7,USA,2023-12-01
MG042309,Influenza A virus (A/duck/Bangladesh/31091/2016(H5N1)),2017-11-05,partial,7,Bangladesh,2016-10-24
PP900397,Influenza A virus,2024-06-16,partial,5,USA,2024-03-01
MW772920,Influenza A virus,2022-12-30,partial,7,Brazil,2019-08-29
